Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment,Grammar queries,P/A/O
he,אין עוד מלבדו,378.25,נושא בקבלה,https://kabbalahmedia.info/he/sources/hFeGidcS,[latest]https://kabbalahmedia.info/he/lessons?source=bs_qMUUn22b_hFeGidcS,https://kabbalahmedia.info/he/lessons?topic=0db5BBS3_Gvm4nh0t_zuwiS72C,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_Gvm4nh0t_zuwiS72C,missing this issue by congresses,unclear what is good,,pragmatic
he,ערבות זולת נשמות,378.25,נושא בקבלה,https://kabbalahmedia.info/he/lessons?topic=0db5BBS3_Gvm4nh0t_wJqY3829,https://kabbalahmedia.info/he/sources/itcVAcFn,https://kabbalahmedia.info/he/lessons?source=bs_qMeV5M3Y_itcVAcFn,blog,,unclear what is good,,pragmatic
he,תפיסת המציאות,378.25,נושא בקבלה,https://kabbalahmedia.info/he/lessons/cu/fQ9F5Rrn,https://kabbalahmedia.info/he/lessons?topic=0db5BBS3_fF9Awl9y_VmPWCNvo,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_fF9Awl9y_VmPWCNvo,,,unclear what is good,,pragmatic
he,אהבת חברים,378.25,נושא בקבלה,https://kabbalahmedia.info/he/lessons?topic=0db5BBS3_Gvm4nh0t_1fCA7U1x,https://kabbalahmedia.info/he/sources/jXgT6Pa1,https://kabbalahmedia.info/he/programs/cu/JnlqMWvo,[latest]https://kabbalahmedia.info/he/lessons?topic=0db5BBS3_Gvm4nh0t_1fCA7U1x,,unclear what is good,,pragmatic
he,זוהר,176.4285714,זוהר,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,https://kabbalahmedia.info/he/sources/yUcfylRm,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_fF9Awl9y_m3u0BC6T,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,,groups,,pragmatic
he,זוהר לעם,176.4285714,זוהר,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,https://kabbalahmedia.info/he/sources/yUcfylRm,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_fF9Awl9y_m3u0BC6T,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,,groups,,pragmatic
he,ספר הזוהר,176.4285714,זוהר,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_fF9Awl9y_m3u0BC6T,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L,,,groups,1,pragmatic
he,אותיות דרב המנונא סבא,176.4285714,זוהר,https://kabbalahmedia.info/he/sources/M07beI2F,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C_M07beI2F,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C_M07beI2F,,,groups too old,,pragmatic
he,זוהר לעם הקדמת ספר הזוהר,176.4285714,זוהר,https://kabbalahmedia.info/he/sources/yUcfylRm,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,,,groups too old,,pragmatic
he,ליל הכלה,176.4285714,זוהר,https://kabbalahmedia.info/he/sources/jnB9Pwgl,https://kabbalahmedia.info/he/events/c/CENjlZNr?language=he,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,https://kabbalahmedia.info/he/programs/cu/Y1x3GKhP,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,groups too old,,pragmatic
he,לילה דכלא,176.4285714,זוהר,https://kabbalahmedia.info/he/sources/jnB9Pwgl,https://kabbalahmedia.info/he/events/c/CENjlZNr?language=he,[latest]https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,https://kabbalahmedia.info/he/programs/cu/Y1x3GKhP,https://kabbalahmedia.info/he/lessons?source=rh_AwGBQX2L_cSyh3vQM_43BXTx3C,groups too old,,pragmatic
he,"תע""ס",173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,,,groups Should show by default the last lesson?,,pragmatic
he,תלמוד עשר הספירות,173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,,,groups Should show by default the last lesson?,,pragmatic
he,תעס,173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,,,groups 2003 lesson is first,,pragmatic
he,הסתכלות פנימית,173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp?page=13,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL_9xNFLSSp,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL_9xNFLSSp,,,,,pragmatic
he,"תע""ס כרך א' חלק ב'",173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/XlukqLH8?page=37,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL_XlukqLH8,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL_XlukqLH8,,,groups not finding chapter,,pragmatic
he,"תע""ס כרך א",173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp?page=1,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9_e2jgBKLL,,,groups not finding part,,pragmatic
he,תלמוד עשר,173.1428571,"תע""ס",https://kabbalahmedia.info/he/sources/9xNFLSSp?page=1,[latest]https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/he/lessons?source=bs_xtKmrbb9,,,groups Should show by default the last lesson?,,pragmatic
he,פרשת השבוע,176.4,תנך,Current parashat hashavua,https://kabbalahmedia.info/he/programs/c/FMekSMpp,https://kabbalahmedia.info/he/programs/c/yGQYLsbV,https://kabbalahmedia.info/he/programs/c/4D87X3Oo,,groups,,pragmatic
he,בראשית,176.4,תנך,https://kabbalahmedia.info/he/sources/NslF3LJh,https://kabbalahmedia.info/he/lessons/cu/Kcbm97ny,https://kabbalahmedia.info/he/programs/cu/KgldULKU?language=he,https://kabbalahmedia.info/he/programs/cu/dO8qg4SK,,groups,,pragmatic
he,פרשת שבוע,176.4,תנך,Current parashat hashavua,https://kabbalahmedia.info/he/programs/c/FMekSMpp,https://kabbalahmedia.info/he/programs/c/yGQYLsbV,https://kabbalahmedia.info/he/programs/c/4D87X3Oo,,groups,,pragmatic
he,ויצא,176.4,תנך,https://kabbalahmedia.info/he/sources/pCllz58I,https://kabbalahmedia.info/he/programs/cu/ZWV7sRUB,https://kabbalahmedia.info/he/programs/cu/RPHaK0bQ,https://kabbalahmedia.info/he/programs/cu/ZEG4FXf4,,groups,,pragmatic
he,פרשת השבוע במדבר,176.4,תנך,https://kabbalahmedia.info/he/lessons/cu/Oy9AIPNu,https://kabbalahmedia.info/he/lessons/cu/Oy9AIPNu,https://kabbalahmedia.info/he/programs/cu/WYbNrqMa,https://kabbalahmedia.info/he/programs/cu/czD5IOia,,groups,,pragmatic
he,כנס,161.8,כנס,https://kabbalahmedia.info/he/events,[latest]https://kabbalahmedia.info/he/events,,,,groups,1,pragmatic
he,כנס מוסקבה,161.8,כנס,https://kabbalahmedia.info/he/events?location=Russia%7CMoscow,,,,,,1,pragmatic
he,ערבה,161.8,כנס,https://kabbalahmedia.info/he/events?location=Israel%7CArava,,,,,groups,,pragmatic
he,כנס ערבה,161.8,כנס,https://kabbalahmedia.info/he/events?location=Israel%7CArava,https://kabbalahmedia.info/he/events/c/uxQtAVZy?language=he,,,,groups,1,pragmatic
he,כנס ניו ג'רזי,161.8,כנס,https://kabbalahmedia.info/he/events?location=United%20States%7CNew%20Jersey,,,,,groups,1,pragmatic
he,שבת,195.75,מושג בקבלה,topic,https://kabbalahmedia.info/he/programs/cu/Il2LP4Z4,https://kabbalahmedia.info/he/programs/cu/ofPjKepN,https://kabbalahmedia.info/he/programs/cu/9SMgzyOn,,,,oos
he,מחסום,195.75,מושג בקבלה,Source articles with this term,Short clips of Rav,blog,,,לא במקומות הראשונים,,oos
he,מעשר,195.75,מושג בקבלה,Short clips of Rav,blog,,,,תוצאות לא קשורות,,oos
he,תיקון יצר,195.75,מושג בקבלה,https://kabbalahmedia.info/he/programs/cu/d8iJzkSM,https://kabbalahmedia.info/he/programs/cu/WkH9ympw,blog,,,,,oos
he,פסח,177.75,חגים,https://kabbalahmedia.info/he/events/c/PWOJ9aPK?language=he,https://kabbalahmedia.info/he/events/holidays?holidays=RWqjxgkj,https://kabbalahmedia.info/he/programs?topic=g3ml0jum_1nyptSIo_RWqjxgkj,https://kabbalahmedia.info/he/programs/cu/sQLBSVm9,https://kabbalahmedia.info/he/programs/cu/zGraxAov,מדור חגים groups,,pragmatic
he,חנוכה,177.75,חגים,https://kabbalahmedia.info/he/events/c/6CMNoQ6i?language=he,https://kabbalahmedia.info/he/programs?topic=g3ml0jum_1nyptSIo_rxNl0zXg,https://kabbalahmedia.info/he/events/holidays?holidays=rxNl0zXg,,,מדור חגים groups,,pragmatic
he,פורים,177.75,חגים,https://kabbalahmedia.info/he/events/c/BTc81T71?language=he,https://kabbalahmedia.info/he/programs?topic=g3ml0jum_1nyptSIo_ZjqGWdYE,https://kabbalahmedia.info/he/events/holidays?holidays=ZjqGWdYE,,,מדור חגים groups,,pragmatic
he,יום כיפור,177.75,חגים,https://kabbalahmedia.info/he/programs?topic=g3ml0jum_1nyptSIo_oXRmGfzj,https://kabbalahmedia.info/he/programs/cu/Wzhb9v1Z?language=he,,,,מדור חגים groups,,pragmatic
he,שמעתי,158.25,ספר קבלה,https://kabbalahmedia.info/he/sources/qMUUn22b,https://kabbalahmedia.info/he/lessons?source=bs_qMUUn22b,,,,groups - books,,pragmatic
he,שלבי הסולם,158.25,ספר קבלה,https://kabbalahmedia.info/he/sources/jXgT6Pa1,we should have the library according to the book ordered,,,,groups - books,,pragmatic
he,כתבי בעל הסולם,158.25,ספר קבלה,https://kabbalahmedia.info/he/sources,we should have the library according to the book ordered,,,,groups - books,1,pragmatic
he,תהילים,158.25,ספר קבלה,missing book,group with all programs with king David > Psalms,https://kabbalahmedia.info/he/programs/cu/pay6i9Ts?language=he,https://kabbalahmedia.info/he/programs/c/4J0HCOhJ,,groups - books,,oos
he,זוגיות,120.25,נושא חינוך אינטגראלי,https://kabbalahmedia.info/he/programs?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,https://kabbalahmedia.info/he/programs/cu/U52m4xoG,,,,,,pragmatic
he,ילדים,120.25,נושא חינוך אינטגראלי,https://kabbalahmedia.info/he/programs?program=children%7C,,,,,,,pragmatic
he,חינוך,120.25,נושא חינוך אינטגראלי,https://kabbalahmedia.info/he/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_g4WzYPpT,,,,,,,pragmatic
he,אהבה,120.25,נושא חינוך אינטגראלי,Missing group of new life love,https://kabbalahmedia.info/he/programs?topic=VUpFlBnu_jwqdSTx0_BMeF4yJe,,,,,,pragmatic
he,שירים,100.5,מוזיקה,No music section,,,,,נשמר כשיעור?,,oos
he,הדור האחרון,100.5,מוזיקה,https://kabbalahmedia.info/he/sources/oIrPpKn2,https://kabbalahmedia.info/he/lessons?source=bs_qMeV5M3Y_oIrPpKn2,,,,אין חומר על מוזיקה,,oos
he,מוטי מור,100.5,מוזיקה,No music section,,,,,נשמר כשיעור?,,oos
he,שירת העולמות,100.5,מוזיקה,https://kabbalahmedia.info/he/lessons/cu/l0GVJhAD?language=he,https://kabbalahmedia.info/he/lessons/cu/AvV2BJPk?language=he,,,,נשמר כשיעור?,,oos
he,"רב""ש",52.6,מקובל,https://kabbalahmedia.info/he/sources,https://kabbalahmedia.info/he/programs/cu/5i0S9RMc?language=he,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_ssPpRE7p_NreYiGEg,,,group - mekorot,,aspirational
he,רמחל,52.6,מקובל,missing content in library,https://kabbalahmedia.info/he/programs/cu/OlRfxapi?language=he,https://kabbalahmedia.info/he/programs/cu/zyqpiTc3?language=he,https://kabbalahmedia.info/he/programs?topic=0db5BBS3_ssPpRE7p_skJPR8fN,,group - mekorot,,aspirational
he,בעל הסולם,52.6,מקובל,https://kabbalahmedia.info/he/sources,https://kabbalahmedia.info/he/programs/cu/maMk3db9?language=he,https://kabbalahmedia.info/he/programs/cu/AdgO5KVE?language=he,,,group - mekorot,,aspirational
he,משה,52.6,מקובל,https://kabbalahmedia.info/he/programs/cu/gC2tRWrH,missing content in library,https://kabbalahmedia.info/he/programs/cu/AsNLozeK,,,group - mekorot,,aspirational
he,לייטמן,52.6,מקובל,https://kabbalahmedia.info/he/sources,missing biography,twitter,blog,,group - mekorot,,aspirational
he,סעודה,49.2,סעודות,https://kabbalahmedia.info/he/events/meals,[latest]https://kabbalahmedia.info/he/events/meals,,,,,1,pragmatic
he,סעודות,49.2,סעודות,https://kabbalahmedia.info/he/events/meals,[latest]https://kabbalahmedia.info/he/events/meals,,,,,1,pragmatic
he,טיש,49.2,סעודות,[Latest]https://kabbalahmedia.info/he/events/meals,https://kabbalahmedia.info/he/events/meals,missing sub group of TISH,,,,1,aspirational
he,סעוד,49.2,סעודות,https://kabbalahmedia.info/he/events/meals,[latest]https://kabbalahmedia.info/he/events/meals,,,,,1,pragmatic
he,סעודת ראש חודש,49.2,סעודות,missing sub group of Rosh Hodesh Meal,https://kabbalahmedia.info/he/events/meals,,,,,1,aspirational
he,1988,53,שנה,group rabash articles by year 1988,,,,,Should be lessons and articles for this year of RAbash,,aspirational
he,2010,53,שנה,https://kabbalahmedia.info/he/events?year=2010,https://kabbalahmedia.info/he/events/holidays?year=2010,https://kabbalahmedia.info/he/events/unity-days?year=2010,,,Should show congress? grouped material,,aspirational
he,2013,53,שנה,https://kabbalahmedia.info/he/events?year=2013,,,,,Should show congress? grouped material,,aspirational
he,2005,53,שנה,https://kabbalahmedia.info/he/events?year=2005,,,,,Should show congress? grouped material,,aspirational
he,ישיבת חברים,52.5,ישיבת חברים,https://kabbalahmedia.info/he/events/friends-gatherings,[latest]https://kabbalahmedia.info/he/events/friends-gatherings,,,,,1,pragmatic
he,ישיבת החברים,52.5,ישיבת חברים,https://kabbalahmedia.info/he/events/friends-gatherings,[latest]https://kabbalahmedia.info/he/events/friends-gatherings,,,,,1,pragmatic
he,ישיבת,52.5,ישיבת חברים,https://kabbalahmedia.info/he/events/friends-gatherings,[latest]https://kabbalahmedia.info/he/events/friends-gatherings,,,,,1,pragmatic
he,ישיבת החברים העולמית,52.5,ישיבת חברים,https://kabbalahmedia.info/he/events/friends-gatherings,[latest]https://kabbalahmedia.info/he/events/friends-gatherings,,,,,1,pragmatic
he,שיחות,52,שיעור קבלה כללי,https://kabbalahmedia.info/he/programs?program=%7Ce7yLP2D2,https://kabbalahmedia.info/he/programs/c/YvPmFc3Z,https://kabbalahmedia.info/he/lessons/lectures,[latest]https://kabbalahmedia.info/he/lessons/lectures,,,,pragmatic
he,שיעור ווירטואלי,52,שיעור קבלה כללי,https://kabbalahmedia.info/he/lessons/lectures/c/VwCQ0OBq,https://kabbalahmedia.info/he/lessons/lectures/c/pjoTcgvx,https://kabbalahmedia.info/he/lessons/virtual,[latest]https://kabbalahmedia.info/he/lessons/virtual,,,1,pragmatic
he,שיעור למתחילים,52,שיעור קבלה כללי,https://kabbalahmedia.info/he/lessons/lectures/c/VwCQ0OBq,https://kabbalahmedia.info/he/lessons/lectures/c/pjoTcgvx,https://kabbalahmedia.info/he/lessons/lectures,[latest]https://kabbalahmedia.info/he/lessons/lectures,,,1,pragmatic
he,הרצאה,52,שיעור קבלה כללי,https://kabbalahmedia.info/he/lessons/lectures,https://kabbalahmedia.info/he/lessons/lectures,[latest]https://kabbalahmedia.info/he/lessons/lectures,,,,,pragmatic
he,מרשמלו,50,תכניות ילדים,https://kabbalahmedia.info/he/programs?program=%7CJRR182e6,,,,,,,pragmatic
he,שיעור ילדים,50,תכניות ילדים,group with rav kids lessons,https://kabbalahmedia.info/he/lessons/lectures/children-lessons,[latest]https://kabbalahmedia.info/he/lessons/children-lessons,,,,1,pragmatic
he,משחק ילדים,50,תכניות ילדים,https://kabbalahmedia.info/he/programs?program=%7CzQ1D7FeD,,,,,,,pragmatic
he,מאירה והחברים,50,תכניות ילדים,https://kabbalahmedia.info/he/programs?program=%7CGGNcvo1Y,,,,,,,pragmatic
he,שרטוטים,49.75,שיעור בוקר,https://kabbalahmedia.info/he/lessons,,,,,אין שרטוטים?,1,oos
he,שיעור בוקר,49.75,שיעור בוקר,https://kabbalahmedia.info/he/lessons,[latest]https://kabbalahmedia.info/he/lessons,,,,,1,pragmatic
he,קיצור משיעור הקבלה היומי,49.75,שיעור בוקר,group with morning lesson tastes,,,,,,1,oos
he,קטעים נבחרים,49.75,שיעור בוקר,group with morning lesson tastes,https://kabbalahmedia.info/he/programs/c/G30TMsPn,,,,no uid,1,oos
he,חיים חדשים זוגיות,35.8,חיים חדשים + נושא,group with topic and new life,https://kabbalahmedia.info/he/programs/cu/U52m4xoG,https://kabbalahmedia.info/he/programs/cu/JIJqiB7M,https://kabbalahmedia.info/he/programs/cu/Xrk8LEb5,,,,pragmatic
he,חיים חדשים משפחה,35.8,חיים חדשים + נושא,group with topic and new life,https://kabbalahmedia.info/he/programs/cu/gPGEY3cl,,,,,,pragmatic
he,חיים חדשים נוער,35.8,חיים חדשים + נושא,group with topic and new life,https://kabbalahmedia.info/he/programs/cu/5BlnVH4Q,,,,,,pragmatic
he,חיים חדשים הריון,35.8,חיים חדשים + נושא,group with topic and new life,https://kabbalahmedia.info/he/programs/cu/Hxxmgpb0,https://kabbalahmedia.info/he/programs/cu/Eumgl3Jo,,,,,pragmatic
he,חיים חדשים קטעים נבחרים,35.8,חיים חדשים + נושא,https://kabbalahmedia.info/he/programs/c/G30TMsPn,,,,,groups,,pragmatic
he,סביבה טובה,52.66666667,אתר,http://kabbalahgroup.info/internet/he/users/login,,,,,תוכנית + נושא,,oos
he,בלוג,52.66666667,אתר,http://laitman.co.il/,,,,,בלוג הקלטות,,oos
he,רדיו,52.66666667,אתר,http://icecast.kab.tv/radiozohar2014.mp3,https://kabbalahmedia.info/he/programs/c/Dx8UewbL,,,,,,oos
he,הכנה לישיבת החברים,31,הכנות,https://kabbalahmedia.info/he/lessons/cu/Fs4Pajlx,Rabash social writings regarding Yeshivat Haverim,,,,,1,aspirational
he,הכנה לשיעור,31,הכנות,[latest]https://kabbalahmedia.info/he/lessons,https://kabbalahmedia.info/he/lessons,,,,,1,oos
he,הכנה לכנס רומניה,31,הכנות,"group with lessons before the congress, with the preparations",https://kabbalahmedia.info/he/lessons/cu/Cf8xzLNH,,,,,1,pragmatic
he,הכנה לשינה,31,הכנות,Quotes of lessons with recommendations of Rav regarding this,,,,,,1,oos
he,הכנה לפסח,31,הכנות,https://kabbalahmedia.info/he/events/c/PWOJ9aPK?language=he,,,,,missing group by event (all pesah) and latest,1,pragmatic
he,קבוצה צעירה,29.6,קבוצה מהכלי,https://kabbalahmedia.info/he/programs/cu/dhwDY32y?language=he,Group young group lessons,,,,,,oos
he,מוסקבה,29.6,קבוצה מהכלי,https://kabbalahmedia.info/he/events?location=Russia%7CMoscow,Group lessons/lectures with moscow group,,,,,,pragmatic
he,צרפת,29.6,קבוצה מהכלי,https://kabbalahmedia.info/he/events?location=France,,,,,,,pragmatic
he,חיפה,29.6,קבוצה מהכלי,Groups all lessons/lectures of Rav in Haifa,,,,,,,pragmatic
he,פיטר,29.6,קבוצה מהכלי,https://kabbalahmedia.info/he/events?location=Russia%7CSaint%20Petersburg,Group lessons/lectures with Piter group,,,,,,pragmatic
he,סדנה,31.5,סדנאות,?,,,,,,,oos
he,סדנא,31.5,סדנאות,?,,,,,,,oos
he,כללי הסדנה,31.5,סדנאות,klip with workshop rules?,,,,,,,oos
he,סדנת חיבור,31.5,סדנאות,?,,,,,,,oos
he,אסף אוחיון,29.75,מרצה-חבר,Group all the programs where he is host,,,,,,,oos
he,אורן לוי,29.75,מרצה-חבר,Group all the programs where he is host,,,,,,,oos
he,גלעד שדמון,29.75,מרצה-חבר,Group all the programs where he is host,,,,,,,oos
he,אוליאנוב,29.75,מרצה-חבר,Group all the programs where he is host,,,,,,,oos
he,הפצה,39.33333333,הפצה,group the dissemination lessons/lectures,,,,,,,oos
he,הפצה באינטרנט,39.33333333,הפצה,group the dissemination lessons/lectures,,,,,,,oos
he,שיחה על הפצה,39.33333333,הפצה,https://kabbalahmedia.info/he/lessons/cu/Fl6EkY5L,group the dissemination lessons/lectures,,,,,,oos
he,נשים,26,נשים,[latest]https://kabbalahmedia.info/he/lessons/women,https://kabbalahmedia.info/he/lessons/women,https://kabbalahmedia.info/he/programs/c/Mx6yjJ5F,,,מדור נשים groups,,pragmatic
he,סדנאות נשים,26,נשים,https://kabbalahmedia.info/he/lessons/women,[latest]https://kabbalahmedia.info/he/lessons/women,,,,מדור נשים groups,,pragmatic
he,שיעור נשים,26,נשים,https://kabbalahmedia.info/he/lessons/women,[latest]https://kabbalahmedia.info/he/lessons/women,,,,מדור נשים groups,,pragmatic
he,תפקיד האישה,26,נשים,https://kabbalahmedia.info/he/lessons/cu/VwqLxdyT?language=he,,,,,מדור נשים groups,,oos
he,אגרת נ,16.4,אגרות,https://kabbalahmedia.info/he/sources/ib0w1sqv,https://kabbalahmedia.info/he/sources/cT6IAU0f,,,,,1,pragmatic
he,אגרת,16.4,אגרות,https://kabbalahmedia.info/he/sources/9ZIJ9CkI,https://kabbalahmedia.info/he/sources/VUcyhrcS,,,,,1,pragmatic
he,אגרות,16.4,אגרות,https://kabbalahmedia.info/he/sources/DVSS0xAR,https://kabbalahmedia.info/he/sources/b8SHlrfH,,,,,1,pragmatic
he,"אגרת ט""ז",16.4,אגרות,https://kabbalahmedia.info/he/sources/OHNHBjqH,https://kabbalahmedia.info/he/sources/0UXdbMmk,,,,,1,pragmatic
he,אגרת טז,16.4,אגרות,https://kabbalahmedia.info/he/sources/OHNHBjqH,https://kabbalahmedia.info/he/sources/0UXdbMmk,,,,,1,pragmatic
he,הנקודה שבלב,16.5,ספר הפצה,https://kabbalahmedia.info/he/programs?program=%7CJZkZxLgv,http://66books.co.il/shop/%D7%94%D7%A0%D7%A7%D7%95%D7%93%D7%94-%D7%A9%D7%91%D7%9C%D7%91/,,,,,,pragmatic
he,מבט לקבלה,16.5,ספר הפצה,https://kabbalahmedia.info/he/programs/cu/24gMqvTk,https://kabbalahmedia.info/he/programs/cu/24gMqvTk?language=he,http://66books.co.il/shop/%D7%9E%D7%91%D7%98-%D7%9C%D7%A7%D7%91%D7%9C%D7%94-epub-%D7%92%D7%99%D7%A8%D7%A1%D7%90-%D7%9C%D7%A0%D7%99%D7%99%D7%93/,http://www.kab.co.il/heb/content/view/frame/2373?/heb/content/view/full/2373&main,,,,pragmatic
he,הכל יחסים,16.5,ספר הפצה,?,,,,,,,pragmatic
he,המקובל,16.5,ספר הפצה,http://66books.co.il/shop/%D7%94%D7%9E%D7%A7%D7%95%D7%91%D7%9C-%D7%A8%D7%95%D7%9E%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2%D7%99/,,,,,,,oos
